,from,to
3215,SMK Link Electronics Corp,Smk Link Electronics Corp
3216,Snap Inc,Snap Inc
3217,Snap Inc ,Snap Inc
3218,SnapTrack Inc,Snaptrack Inc
3219,Snow Corp,Snow Corp
3220,Xueshan Technologies Inc,Snow Mountain Technologies Inc
3221, SNU R&DB Foundation,Snu R&db Foundation
3222,Socionext Inc,Socionext Inc
3223,Softkinetic Sensors NV,Softkinetic Sensors Nv
3224,Sogang University Research Foundation,Sogang University Research Foundation
3225,横田 聡一郎,Soichiro Yokota
3226,"Solarsort Technologies, Inc","Solarsort Technologies, Inc"
3227,Solvay Specialty Polymers Italy S.P.A.,Solvay Specialty Polymers Italy S.p.a.
3228,Solvay Specialty Polymers Italy SpA ,Solvay Specialty Polymers Italy Spa
3229,株式会社ソニー・コンピュータエンタテインメント,"Sony Computer Entertainment Co., Ltd."
3230, Sony Corp,Sony Corp
3231,ソニーセミコンダクタソリューションズ株式会社,Sony Corp
3232,ソニー株式会社,Sony Corp
3233,Sony Corp,Sony Corp
3234,Sony Corp ,Sony Corp
3235,Sony Semiconductor Solutions Corporation,Sony Corp
3236,Sony Corporation,Sony Corporation
3237, Sony Electronics Inc,Sony Electronics Inc
3238,Sony Ericsson Mobile Communications Ab,Sony Ericsson Mobile Communications Ab
3239, Sony Group Corp,Sony Group Corp
3240,Sony Group Corp,Sony Group Corp
3241,株式会社ソニー・インタラクティブエンタテインメント,"Sony Interactive Entertainment Co., Ltd."
3242,Sony Interactive Entertainment Inc,Sony Interactive Entertainment Inc
3243,Sony Interactive Entertainment Inc ,Sony Interactive Entertainment Inc
3244,Sony Interactive Entertainment Inc.,Sony Interactive Entertainment Inc.
3245,Sony Interactive Entertainment LLC,Sony Interactive Entertainment Llc
3246, Sony Mobile Communications AB,Sony Mobile Communications Ab
3247,Sony Mobile Communications AB,Sony Mobile Communications Ab
3248,ソニー・オリンパスメディカルソリューションズ株式会社,"Sony Olympus Medical Solutions Co., Ltd."
3249,Sony Olympus Medical Solutions Inc,Sony Olympus Medical Solutions Inc
3250, Sony Pictures Entertainment Inc,Sony Pictures Entertainment Inc
3251,Sony Semiconductor Solutions Corp,Sony Semiconductor Solutions Corp
3252,Sony Taiwan Ltd,Sony Taiwan Ltd
3253,Sooft Italia SpA,Sooft Italia Spa
3254,株式会社ソシオネクスト,"Sosionics Co., Ltd."
3255,SOURCE BIOSCIENCE PLC ,Source Bioscience Plc
3256,Source Photonics Chengdu Co Ltd,Source Photonics Chengdu Co Ltd
3257,South China University of Technology SCUT,South China University Of Technology Scut
3258,Southeast University,Southeast University
3259,Southern Methodist University,Southern Methodist University
3260,南桔屏,Southern Orange Screen
3261,Southwest Research Institute SwRI,Southwest Research Institute Swri
3262,Sovereign Peak Ventures LLC,Sovereign Peak Ventures Llc
3263,Spatial View Inc,Spatial View Inc
3264,Lentilles Ophtalmiques Speciales SA,Special Ophtalms Sa
3265,Spectral Imaging Labs,Spectral Imaging Labs
3266,Spectrum Optix Inc,Spectrum Optix Inc
3267,Speed Time And Space Information Technology Co ltd,Speed Time And Space Information Technology Co Ltd
3268,Spielberg Anthony C,Spielberg Anthony C
3269,Splunk Inc,Splunk Inc
3270,Spring Rainbow Optics Co Ltd,Spring Rainbow Optics Co Ltd
3271,SPS 2 Pacific Pty Ltd ,Sps 2 Pacific Pty Ltd
3272,"Spy Eye, Llc","Spy Eye, Llc"
3273,Sri International,Sri International
3274, SRI International Inc,Sri International Inc
3275,SRI International Inc,SRI International Inc
3276, St Jude Medical Cardiology Division Inc,St Jude Medical Cardiology Division Inc
3277,St Jude Medical Cardiology Division Inc,St Jude Medical Cardiology Division Inc
3278,St Microelectronics Srl,St Microelectronics Srl
3279, Staar Surgical Co Inc,Staar Surgical Co Inc
3280,Staar Surgical Co Inc,Staar Surgical Co Inc
3281,STAAR SURGICAL Inc ,Staar Surgical Inc
3282,Stanley Electric Co Ltd,Stanley Electric Co Ltd
3283,スタンレー電気株式会社,"Stanley Electric Co., Ltd."
3284,State Grid Corp of China SGCC ,State Grid Corp Of China Sgcc
3285,State University of New York SUNY,State University Of New York Suny
3286,Stats Chippac Pte Ltd ,Stats Chippac Pte Ltd
3287,Steelcase Inc,Steelcase Inc
3288,Stenger Donald C,Stenger Donald C
3289,Stephen Empedocles,Stephen Empedocles
3290,Stephen P Hines,Stephen P Hines
3291, Stereo Didplay Inc ,Stereo Didplay Inc
3292, Stereo Display Inc,Stereo Display Inc
3293, Stereo Display Inc ,Stereo Display Inc
3294,Stereo Display Inc,Stereo Display Inc
3295,"Stereo Display, Inc.","Stereo Display, Inc."
3296,ステレオ ディスプレイ，インコーポレイテッド,"Stereo Display, Incorporated"
3297,STERO DISPLAY Inc ,Stero Display Inc
3298,Steve Empedocles,Steve Empedocles
3299,Steven M. Hoffberg,Steven M. Hoffberg
3300, STM Medizintechnik Starnberg GmbH,Stm Medical Technology Starnberg Gmbh
3301,STM Medizintechnik Starnberg GmbH,Stm Medical Technology Starnberg Gmbh
3302, STMicroelectronics Crolles 2 SAS,Stmicroelectronics Crolles 2 Sas
3303,STMicroelectronics Crolles 2 SAS,Stmicroelectronics Crolles 2 Sas
3304,STMicroelectronics lnc USA,Stmicroelectronics Lnc Usa
3305,STMicroelectronics Pte Ltd,Stmicroelectronics Pte Ltd
3306,STMicroelectronics Research and Development Ltd,Stmicroelectronics Research And Development Ltd
3307,STMicroelectronics Rousset SAS,Stmicroelectronics Rousset Sas
3308,STMicroelectronics SA,Stmicroelectronics Sa
3309,STMicroelectronics SA ,Stmicroelectronics Sa
3310, STMicroelectronics Shenzhen Manufacturing Co Ltd,Stmicroelectronics Shenzhen Manufacturing Co Ltd
3311,STMicroelectronics Shenzhen R&D Co Ltd,Stmicroelectronics Shenzhen R&d Co Ltd
3312,STMicroelectronics SRL,STMicroelectronics SRL
3313,Strokeplay,Strokeplay
3314,Stryker Corp,Stryker Corp
3315,Stryker European Operations Holdings LLC ,Stryker European Operations Holdings Llc
3316,Stuart Speakman,Stuart Speakman
3317,Saman Dharmatilleke,Stuff
3318,Stuttgart Universitaet,Stuttgart Universitaet
3319,Subaru Corp,Subaru Corp
3320,Sakurai Seigi Kk,Suck
3321,Sudeep George Eraniose,Sudeep George Eraniose
3322,SUKAI CAPITAL LLC,SUKAI CAPITAL LLC
3323,Sumitomo Electric Ind Ltd,Sumitomo Electric Ind Ltd
3324,住友電気工業株式会社,"Sumitomo Electric Industry Co., Ltd."
3325,Sun Chemical Corp,Sun Chemical Corp
3326, Sungkyunkwan University,Sungkyungkwan University
3327,SUNGKYUNGKWAN UNIVERSITY ,Sungkyungkwan University
3328, Sunny Optical Zhejiang Research Institute Co Ltd,Sunny Optical 
3329,Sunny Optical Zhejiang Research Institute Co Ltd,Sunny Optical
3330,Sunnytec Electronics Co Ltd,Sunnytec Electronics Co Ltd
3331,Ortus Technology Co Ltd,Sunrise Technology
3332,Suometry Inc,Suometry Inc
3333,"Super fusion Digital Technology Co.,Ltd.","Super Fusion Digital Technology Co.,ltd."
3334, SUPERFOCUS HOLDINGS LLC,Superfocus Holdings Llc
3335,SUPERFOCUS HOLDINGS LLC ,Superfocus Holdings Llc
3336, Surgical Concepts Inc,Surgical Concepts Inc
3337,Surgical Concepts Inc,Surgical Concepts Inc
3338,Surgical Design Corp,Surgical Design Corp
3339, Suwa Seikosha KK ,Suwa Solves K
3340,Suzhou Dongling Vibration Test Instrument Co Ltd,Suzhou Dongling Vibration Test Instrument Co Ltd
3341,Suzhou Institute of Biomedical Engineering and Technology of CAS,Suzhou Institute Of Biomedical Engineering And Technology Of Cas
3342,Suzhou Jiujon Optics Co Ltd,Suzhou Jiujon Optics Co Ltd
3343,SUZHOU LEAD LASER TECHNOLOGY CO LTD,Suzhou Lead Laser Technology Co Ltd
3344,Suzhou Luzhiyao Technology Co Ltd,Suzhou Luzhiyao Technology Co Ltd
3345,"Suzhou lvcuizhu Information Technology Co.,Ltd.","Suzhou Lvcuizhu Information Technology Co.,ltd."
3346,Suzhou Multispace Media & Exhibition Co ltd,Suzhou Multispace Media & Exhibition Co Ltd
3347, Suzhou OFilm Tech Co Ltd ,Ofilm Group Co Ltd
3348,Suzhou Jingfang Photoelectric Technology Co ltd,Suzhou Police Photoelectric Technology Technology
3349,Suzhou Songjian Optical Technology Co ltd,Suzhou Songjian Optical Technology Co ltd
3350, Suzhou Sudavig Science and Technology Group Co Ltd,Suzhou Sudavig Science And Technology Group Co Ltd
3351,Suzhou University ,Suzhou University
3352,Suzhou University of Science and Technology,Suzhou University Of Science And Technology
3353,Sven-Ake Afsenius,Sven-aake Afsenius
3354,Sverker Norrby,Sverker Norrby
3355,Святослав Иванович АРСЕНИЧ,Svyatoslav Ivanovich Arsenich
3356,Swatch Group Research and Development SA,Swatch Group Research And Development Sa
3357,Swinburne University Of Technology,Swinburne University Of Technology
3358,Centre Suisse dElectronique et Microtechnique SA CSEM,Swiss Center Delectronics And Microtechnic Sa Csem
3359,Symbol Technologies Inc,Symbol Technologies Inc
3360,シンボル テクノロジーズ インコーポレイテッド,Symbol Technologies Incorporated
3361, Symbol Technologies LLC,Symbol Technologies Llc
3362,Symbol Technologies LLC,Symbol Technologies Llc
3363,Symbol Technologies LLC ,Symbol Technologies Llc
3364,シンボル テクノロジーズ， インコーポレイテッド,"Symbol Technologies, Incorporated"
3365,Synapcis Inc,Synapcis Inc
3366, Synaptics Inc,Synaptics Inc
3367,Synaptics LLC ,Synaptics Llc
3368,Synaptive Medical (Barbados) Inc.,Synaptive Medical (barbados) Inc.
3369, Synaptive Medical Inc,Synaptive Medical Inc
3370,Synaptive Medical Inc,Synaptive Medical Inc
3371, Syncada LLC ,Syncada Llc
3372,Syncada LLC,Syncada Llc
3373,SYNC-THINK Inc,Sync-think Inc
3374,Synergy Microwave Corp,Synergy Microwave Corp
3375,Syracuse University,Syracuse University
3376, Syscan Inc,Syscan Inc
3377,Sinvent AS,Syvent Let's
3378,SZ DJI Osmo Technology Co Ltd,SZ DJI Osmo Technology Co Ltd
3379,SZ DJI Technology Co Ltd,Sz Dji Technology
3380,SZ DJI Technology Co Ltd ,Sz Dji Technology
3381,"SZ DJI Technology Co., Ltd.","Sz Dji Technology Co., Ltd."
3382, T RAM Semiconductor Inc,T Ram Semiconductor Inc
3383,"택투스 테크놀로지, 아이엔씨.","Tacketus Technology, Inc."
3384,Tactacam LLC,Tactacam Llc
3385,Tactus Technology,Tactus Technology
3386, Tactus Technology Inc,Tactus Technology Inc
3387,Tactus Technology Inc,Tactus Technology Inc
3388,Tadanobu Kato,Tadanobu
3389,忠信 加藤,Tadanobu Kato
3390,Tagunicar Harold Ronald Villanueva,Tagunicar Harold Ronald Villanueva
3391,Tae Kyung Kim,Tai Qung Kim
3392,Taicang Meizhaiji Entertainment Media Co Ltd,Taicang Us Debt And Entertainment Media
3393,台達電子工業股份有限公司,"Taida Electronics Industry Co., Ltd."
3394,貴和 武藤,Taikazu Mudo
3395,Tait Technologies Bvba,Tait Technologies Bvba
3396,台灣東電化股份有限公司,"Taiwan Dongshi Co., Ltd."
3397,Taiwan Semiconductor Manufacturing Co TSMC Ltd,Taiwan Semiconductor Manufacturing Co Tsmc Ltd
3398,Taiyuan Normal University,Taiyuan Normal University
3399,Taiyuan University of Science and Technology,Taiyuan University Of Science And Technology
3400,Taiyuan University of Technology,Taiyuan University Of Technology
3401,Yaoling Pan,Take The Lead
3402,탈믹 랩스 인크,Talmick Labs Ink
3403, Tamiras Per Pte Ltd LLC,Tamiras Per Pte Ltd Llc
3404,Tandent Computer Vision LLC,Tandent Computer Vision Llc
3405,Tangen Reidar E,Tangen Reidar E
3406,Tangible Science Inc,Tangible Science Inc
3407,Tantemu optical limited liability company,Tantemu Optical Limited Liability Company
3408, Tascent Inc,Tascent Inc
3409,TC1 LLC,Tc1 Llc
3410,TCL China Star Optoelectronics Technology Co Ltd,Tcl China Star Optoelectronics Technology Co Ltd
3411,Ｔｄｋ株式会社,"Tdk Co., Ltd."
3412,Tdk株式会社,"Tdk Co., Ltd."
3413,TDK Corp,TDK Corp
3414,Tdk Corp,Tdk Corp
3415,TDK Taiwan Corp,TDK Corp
3416,Technest Holdings Inc,Technest Holdings Inc
3417, Technische Universitaet Chemnitz,Technical University Chemnitz
3418,Technische Universitaet Dresden,Technical University Dresden
3419,Technische Universitaet Graz ,Technical University Graz
3420,Technion Research and Development Foundation Ltd,Technion Research And Development Foundation Ltd
3421,Technion Research and Development Foundation Ltd ,Technion Research And Development Foundation Ltd
3422,TACTUS TECHNOLOGIES ,Technologies In Touch
3423,Zhuhai Shixi Technology Co ltd,Technology
3424,Technology (nanjing) Ltd By Share Ltd,Technology (nanjing) Ltd By Share Ltd
3425,Zhejiang Shangtang Technology Development Co Ltd,Technology Development
3426,Hangzhou Guangli Technology Co ltd,"Technology, Hangzhou Guangli"
3427,Teco Elec & Machinery Co Ltd,Teco Elec & Machinery Co Ltd
3428,Teco Electric and Machinery Co Ltd,Teco Electric And Machinery Co Ltd
3429,Teknologian Tutkimuskeskus Vtt Oy,Teknologian Tutkimuskeskus Vtt Oy
3430,Tektronix Inc,Tektronix Inc
3431,Tel HaShomer Medical Research Infrastructure and Services Ltd,Tel Hashomer Medical Research Infrastructure And Services Ltd
3432,Telecom Italia SpA,Telecom Italia Spa
3433,Teledyne Flir Detection Inc,Teledyne Flir Detection Inc
3434,Teledyne Flir LLC,Teledyne Flir Llc
3435,Teledyne LeCroy Inc,Teledyne Lecroy Inc
3436,Teledyne Scientific and Imaging LLC,Teledyne Scientific And Imaging Llc
3437,Telefonaktiebolaget L M Ericsson (Publ),Telefonaktiebolaget L M Ericsson (publ)
3438,Telefonaktiebolaget LM Ericsson AB,Telefonaktiebolaget Lm Ericsson Ab
3439,Teletype Co Inc,Teletype Co Inc
3440,Telelens LLC,Televelens Llc
3441,Telinamikesi Ltd By Share Ltd ,Telinamikesi Ltd By Share Ltd
3442,腾讯科技（深圳）有限公司,"Tencent Technology (shenzhen) Co., Ltd."
3443,Tencent Technology Shenzhen Co Ltd,Tencent Technology Shenzhen Co Ltd
3444,Tennant Jerald L,Tennant Jerald L
3445,TeraStor Corp,Terastor Corp
3446,Terry Chou,Terry Chou
3447,Tesseland Llc,Tesseland Llc
3448,Tesseland LLC,Tesseland Llc
3449,Tetsuo Oshika,Tetsuo Dental
3450,哲郎 大鹿,Tetsuro Deer
3451,Texas Instr Japan Ltd,Texas Instr Japan Ltd
3452,Texas Instruments Inc,Texas Instruments Inc
3453,Texas Instruments Inc ,Texas Instruments Inc
3454,Texas State University,Texas State University
3455,Thales SA,Thales In
3456,Thalmic Labs Inc.,Thalmic Labs Inc.
3457,Thanh-Trung Do,Thanh-trung Do
3458,The Arizona Board Of Regents On Behalf Of The University Of Arizona,The Arizona Board Of Regents On Behalf Of The University Of Arizona
3459,The Board Of Trustees Of The Leland Stanford Junior University,The Board Of Trustees Of The Leland Stanford Junior University
3460,The Board Of Trustees Of The University Of Illinois,The Board Of Trustees Of The University Of Illinois
3461,더 보드 오브 트러스티즈 오브 더 유니버시티 오브 일리노이,The Board Of Trustes Of The University Of Illinois
3462,더 보오드 오브 트러스티스 오브 더 유니버시티 오브 일리노이즈,The Boode Of Trustis Of The University Of Illinoise
3463,Kile Bradford E,The Bradford
3464,"The Chancellor, Masters And Scholars Of The University Of Cambridge","The Chancellor, Masters And Scholars Of The University Of Cambridge"
3465,"The Charles Stark Draper Laboratory, Inc.","The Charles Stark Draper Laboratory, Inc."
3466,The General Hospital Corporation,The General Hospital Corporation
3467,"The Government Of The United States Of America, As Represented By The Secretary Of The Navy","The Government Of The United States Of America, As Represented By The Secretary Of The Navy"
3468,Di Gillen J Co,The Gunds J Co
3469,The Johns Hopkins University,The Johns Hopkins University
3470,The Lightco Inc.,The Lightco Inc.
3471,The Penn State Research Foundation,The Penn State Research Foundation
3472,The Queen's Medical Center,The Queen's Medical Center
3473,Menno W J Prins,The Reason Not Wusves
3474,The Regents Of The University Of California,The Regents Of The University Of California
3475,"The Regents Of The University Of Colorado, A Body Corporate","The Regents Of The University Of Colorado, A Body Corporate"
3476,ザ サイエンス アンド テクノロジー ファシリティーズ カウンシル,The Science And Technology Facility Council
3477,Telefonaktiebolaget Lm Ericsson (Publ),The Telephone Company Lm Ericsson (publ)
3478,The Trustees Of Columbia University In The City Of New York,The Trustees Of Columbia University In The City Of New York
3479,The Trustees Of The University Of Pennsylvania,The Trustees Of The University Of Pennsylvania
3480,ザ・トラスティーズ・オブ・コロンビア・ユニバーシティ・イン・ザ・シティ・オブ・ニューヨーク,The Trust's Of Columbia Univer City In The City Of New York
3481,ザ ユニバーシティ オブ ロチェスター,The Univer City Of Rochester
3482,The University Of Hawii,The University Of Hawii
3483,The University Of Manchester,The University Of Manchester
3484,The University Of North Carolina At Chapel Hill,The University Of North Carolina At Chapel Hill
3485,The University Of Tokyo,The University Of Tokyo
3486,De Walle Gerjan F A Van,The Walle Gerjan F A Van
3487,Thera Patent GmbH and Co KG Gesellschuft fuer Industrielle Schutzrechte,Thera Patent Gmbh And Co Kg Gesellschauft For Industrial Property Rights
3488, Thermo Scientific Portable Analytical Instruments Inc,Thermo Scientific Portable Analytical Instruments Inc
3489,Parvenu Inc,They Look Inc
3490,Thilo Von Freyhold,Thilo Von Freyhold
3491, ThinOptX Inc,Thinoptx Inc
3492,Dritte Patentportfolio Beteiligungs GmbH and Co KG,Third Patent Portfolio Beteiligungs Gmbh And Co Kg
3493,Thomas Hawley,Thomas Hawley
3494,Thomas I Koblizek,Thomas I Koblizek
3495,Thomas J. Moscarillo,Thomas J.moscarillo
3496,Thomas K. Bende,Thomas K.me Too
3497,Thompson Kenneth B,Thompson Kenneth B
3498,톰슨 라이센싱,Thompson Licensing
3499,Thomson Broadcast SAS,Thomson Broadcast Sas
3500,トムソン ライセンシング,Thomson Licensing
3501,Thomson Licensing,Thomson Licensing
3502, Thomson Licensing SAS ,Thomson Licensing Sas
3503,Thomson Licensing SAS,Thomson Licensing Sas
3504,Thomson Licensing SAS ,Thomson Licensing Sas
3505,トムソン ライセンシングＴｈｏｍｓｏｎ Ｌｉｃｅｎｓｉｎｇ,Thomson Licensing Thomson Licensing
3506,Thomson Lisensing ,Thomson Lisensing
3507,Thoratec LLC,Thoratec Llc
3508,Thorlabs Elliptec GmbH,Thorlabs Elliptec Gmbh
3509,Sanfeng Co Ltd ,Three Abundance
3510,Mitsuo Tsukamoto,Three Hundred Katsumoto
3511,スリーエム イノベイティブ プロパティズ カンパニー,Threem Innovative Properties Company
3512,Thunder Software Technology Shenzhen Co ltd,Thunder Software Technology Shenzhen Co Ltd
3513,Tianjin OFilm Opto Electronics Co Ltd,Ofilm Group Co Ltd
3514,Tianjin Siboke Technology Development Co Ltd,Tianjin Siboke Technology Development Co Ltd
3515,Tianjin University,Tianjin University
3516,Tianjin Zhongke Intelligent Identification Industry Technology Research Institute Co Ltd,Tianjin Zhongke Intelligent Identification Industry Technology Research Institute Co Ltd
3517,Tianma Japan Ltd,Tianma Japan Ltd
3518,Tibbot Gina Anne,Tibbot Gina Anne
3519,Tibco Software Inc,Tibco Software Inc
3520,Tibor Balogh,Tibor Balogh
3521,Tiger T G Zhou,Tiger T G Zhou
3522,Tigran Galstian,Tigran Galstian
3523,Timothy Poston,Timothy Poston
3524,Timothy R. Willis,Timothy R. Willis
3525,"Tinz Optics, Inc.","Tinz Optics, Inc."
3526,TMRW Foundation IP SARL,Tmrw Foundation Ip Sarl
3527,TNC US Holdings Inc,Tnc Us Holdings Inc
3528,Tobii Technology Ab,Tobii Technology Ab
3529,주식회사 토비스,"Tobis Co., Ltd."
3530,Jin Chang Chung,Today's Changchun Palace
3531,Todd Richard Reily,Todd Richard Reily
3532,Tohoku Univ,Tohoku Univ
3533,Tokai Rika Co Ltd ,Tokai Rika
3534,Tokyo Institute of Technology NUC,Tokyo Institute Of Technology Nuc
3535,Tomoki Ogawa,Tomoki Ogawa
3536, TomTom Global Content BV,Tomtom Global Content Bv
3537,TomTom Global Content BV,Tomtom Global Content Bv
3538,TomTom International BV ,Tomtom International Bv
3539,Tony Christopher Collins,Tony Christopher Collins
3540, Tooz Technologies GmbH,Tooz Technologies Gmbh
3541,Top Victory Investments Ltd,Top Victory Investments Ltd
3542,株式会社トプコン,"Topcon Co., Ltd."
3543,Topcon Corp,Topcon Corp
3544,Toppan Forms Co Ltd,Toppan Forms Co Ltd
3545,Toppan Printing Co Ltd,Toppan Printing Co Ltd
3546,凸版印刷株式会社,"Toppan Printing Co., Ltd."
3547,トルンプフ ヴェルクツォイクマシーネン ゲゼルシャフト ミット ベシュレンクテル ハフツング ウント コンパニー コマンディートゲゼルシャフト,Torumph Velque Kumashi Mashinen Gezel Shaft Mitt Beshenen Tell Huff Buton Company Command Diet Gel Shaft
3548,Toshiba Corp,Toshiba Corp
3549,Toshiba Corp ,Toshiba Corp
3550,株式会社東芝,Toshiba Corporation
3551,Toshiba Eng & Constr Co Ltd,Toshiba Eng & Constr Co Ltd
3552,Toshiba Global Commerce Solutions Holdings Corp,Toshiba Global Commerce Solutions Holdings Corp
3553,東芝プラント建設株式会社,"Toshiba Plant Construction Co., Ltd."
3554, Toshiba TEC Corp,Toshiba Tec Corp
3555,株式会社豊田中央研究所,"Toyoda Central Research Institute Co., Ltd."
3556, Toyota Central R&D Labs Inc,Toyota Central R&d Labs Inc
3557,Toyota Central R&D Labs Inc,Toyota Central R&d Labs Inc
3558,Toyota Motor Corp,Toyota Motor Corp 
3559,Toyota Motor Corp ,Toyota Motor Corp 
3560,トヨタ自動車株式会社,Toyota Motor Corporation
3561,Toyota Motor Corporation,Toyota Motor Corporation
3562,Toyota Motor North America Inc,Toyota Motor North America Inc
3563,Jian Chen,Traitor
3564,Transchip Israel Ltd,Transchip Israel Ltd
3565,Transchip Israel Ltd ,Transchip Israel Ltd
3566,Transitions Optical Inc,Transitions Optical Inc
3567,Transitions Research Corp ,Transitions Research Corp
3568,Transpacific Intelligence LLC,Transpacific Intelligence Llc
3569,Trice Medical Inc,Trice Medical Inc
3570,TRIDENT ENERGY Ltd,Trident Energy Ltd
3571,Trimble Inc,Trimble Inc
3572,Trimble Jena GmbH,Trimble Jena Gmbh
3573, TrinamiX GmbH,Trinamix Gmbh
3574,Trinamix Gmbh,Trinamix Gmbh
3575,TrinamiX GmbH,Trinamix Gmbh
3576,Triple Win Technology Shenzhen Co Ltd,Triple Win Technology Shenzhen Co Ltd
3577, Triquint Technology Holding Co,Triquint Technology Holding Co
3578,Makoto Araya,TRUE
3579, TRUE VISION SYSTEMS Inc,True Vision Systems Inc
3580, TrueVision Systems Inc,Truevision Systems Inc
3581,Truist Bank,Truist Bank
3582,Truly Opto-Electronics Ltd,Truly Opto-electronics Ltd
3583,TRULY SEMICONDUCTORS (SHANWEI) CO Ltd,Truly Semiconductors (shanwei) Co Ltd
3584,Trumpf Laser und Systemtechnik GmbH,Trumpf Laser And Systemtechnik Gmbh
3585,Trustees Of Tufts College,Trustees Of Tufts College
3586,Tsai Ray Jui-Fang,Tsai Ray Jui-fang
3587,Tsinghua University,Tsinghua University
3588,Tsinghua University ,Tsinghua University
3589, TTP Group PLC,Ttp Group Plc
3590, Tufts University,Tufts University
3591,TUNABLE OPTIX Corp,Tunable Optix Corp
3592,Turley Dana F,Turley Dana F
3593, TV Guide Inc,Tv Guide Inc
3594,Twentieth Century Fox Film Corp,Twentieth Century Fox Film Corp
3595,慈濟學校財團法人慈濟大學,Tzu Chi School Consortium Tzuchi University Tzuchi University
3596,U Systems Inc,U Systems Inc
3597,U.S. Philips Corporation,U.s. Philips Corporation
3598,Uber Technologies Inc,Uber Technologies Inc
3599,UBICA LLC ,Ubica Llc
3600,Ubisoft Entertainment SA,Ubisoft Entertainment Sa
3601, UCL Business Ltd,Ucl Business Ltd
3602,UCL Business Ltd,Ucl Business Ltd
3603,SHEN CHOU MING,Ugly
3604,Uisee Technologies Beijing Co Ltd,Uisee Technologies Beijing Co Ltd
3605,UJF FILIALE SOC PAR ACTIONS SI,Ujf Subsidiary
3606,Ultimems Inc,Ultimems Inc
3607,Ultrahaptics IP Ltd,Ultrahaptics Ip Ltd
3608,Ultraleap Ltd,Ultraleap Ltd
3609,Umbra Software Oy,Umbra Software Oy
3610, Umemura Educational Institutions,Umemura Educational Institutions
3611,Umm al-Qura University,Umm Al-qura University
3612,Unilever Nv,Unilever Nv
3613,Uniloc 2017 LLC,Uniloc 2017 Llc
3614,Union Optech Co Ltd,Union Optech Co Ltd
3615, Union Fenosa Distribucion SA,Union Penosa Distribution.
3616,Unisearch Ltd,Unisearch Ltd
3617,United Parcel Service of America Inc,United Parcel Service Of America Inc
3618,UNITED RES AND DEV CORP,United Res And Dev Corp
3619,United Services Automobile Association USAA,United Services Automobile Association Usaa
3620,United Solar Systems Corp ,United Solar Systems Corp
3621, Unity Software Inc,Unity Software Inc
3622,Unity Technologies SF ,Unity Technologies Sf
3623,Univ Concepcion,Univ Concepcion
3624,Univ Illinois,Univ Illinois
3625,Univ Leland Stanford Junior,Univ Leland Stanford Junior
3626,Univ Nagoya,Univ Nagoya
3627,Univ Nat Chiao Tung,Univ Nat Chiao Tung
3628,Univ Of Tokyo,Univ Of Tokyo
3629,Univ Pisa,Univ Pisa
3630,ユニヴェルシテ ジョセフ フーリエ,Univers Joseph Fourier
3631,Universal City Studios LLC,Universal City Studios Llc
3632, Universitaet Rostock,Universitaet Rostock
3633,Universite Joseph Fourier (Grenoble 1),Universite Joseph Fourier (grenoble 1)
3634,Universite Paris Diderot Paris 7,Universitite Paris Diderot Paris 7
3635,University Corp for Atmospheric Research UCAR,University Corp For Atmospheric Research Ucar
3636,Universite Joseph Fourier,University Joseph Fourier
3637, University of Alabama at Birmingham UAB,University Of Alabama At Birmingham Uab
3638,University of Alabama in Huntsville,University Of Alabama In Huntsville
3639, University of Arizona,University Of Arizona
3640,University of Bath ,University Of Bath
3641,University of Bolton ,University Of Bolton
3642, Universite de Bordeaux,University Of Bordeaux
3643, University of California,University Of California
3644, University of California ,University Of California
3645,University of California,University Of California
3646,University of California ,University Of California
3647,"University Of California, San Francisco","University Of California, San Francisco"
3648,University Of Central Florida Research,University Of Central Florida Research
3649, University of Central Florida Research Foundation Inc UCFRF,University Of Central Florida Research Foundation Inc Ucfrf
3650,University of Central Florida Research Foundation Inc UCFRF,University Of Central Florida Research Foundation Inc Ucfrf
3651,University of Chicago,University Of Chicago
3652, University of Colorado,University Of Colorado
3653,University of Colorado,University Of Colorado
3654,University of Colorado Foundation Inc,University Of Colorado Foundation Inc
3655,Universidad de Concepcion,University Of Concepcion
3656,University of Connecticut,University Of Connecticut
3657,University of Delaware,University Of Delaware
3658,University of Durham ,University Of Durham
3659,University of Electronic Science and Technology of China,University Of Electronic Science And Technology Of China
3660,University of Florida Research Foundation Inc,University Of Florida Research Foundation Inc
3661,University of Florida Research Foundation Inc ,University Of Florida Research Foundation Inc
3662,"University Of Florida Research Foundation, Inc.","University Of Florida Research Foundation, Inc."
3663,Universiteit Gent ,University Of Ghent
3664, University of Hawaii ,University Of Hawaii
3665,University of Hawaii ,University Of Hawaii
3666, University of Illinois,University Of Illinois
3667,University of Illinois,University Of Illinois
3668,University of Illinois ,University Of Illinois
3669,University of Kent at Canterbury,University Of Kent At Canterbury
3670,University of Kentucky Research Foundation,University Of Kentucky Research Foundation
3671, Universidad de La Laguna ,University Of La Laguna
3672,Universidad De La Laguna,University Of La Laguna
3673,Universidad de los Andes Chile,University Of Los Andes Chile
3674,University of Manchester,University Of Manchester
3675, University of Miami ,University Of Miami
3676,University of Michigan,University Of Michigan
3677, University of Minnesota,University Of Minnesota
3678,University of Minnesota,University Of Minnesota
3679,University of Missouri System,University Of Missouri System
