,from,to
2235, Nanchang OFilm Optoelectronics Technology Co Ltd ,Ofilm Group Co Ltd
2236,Nanchang OFilm Optoelectronics Technology Co Ltd,Ofilm Group Co Ltd
2237,Nanchang OFilm Optoelectronics Technology Co Ltd ,Ofilm Group Co Ltd
2238,Nanchang OFilm Tech Co Ltd,Ofilm Group Co Ltd
2239,Nanchang OFilm Tech Co Ltd ,Ofilm Group Co Ltd
2240,南昌欧菲光电技术有限公司,Ofilm Group Co Ltd
2241,南昌欧菲生物识别技术有限公司,Ofilm Group Co Ltd
2242,南东顺,Nangong Shun
2243,Nanjing Post and Telecommunication University ,Nanjing Post And Telecommunication University
2244,Nanjing Putebo Instrument Co Ltd,Nanjing Putebo Instrument Co Ltd
2245,Nanjing University of Aeronautics and Astronautics,Nanjing University Of Aeronautics And Astronautics
2246, Nanjing University of Posts and Telecommunications,Nanjing University Of Posts And Telecommunications
2247,NANOLIGHT TECHNOLOGIES LLC,Nanolight Technologies Llc
2248,Nanosys Gmbh,Nanosys Gmbh
2249,Nanosys Inc,Nanosys Inc
2250,Nanosys Inc.,Nanosys Inc.
2251,ナンヤン・テクノロジカル・ユニバーシティー,Nanyan Technology University
2252,Nanyang Normal University,Nanyang Normal University
2253,Nanyang Technological University,Nanyang Technological University
2254,ナルックス株式会社,"Narks Co., Ltd."
2255,Narrative Science Inc,Narrative Science Inc
2256,Nat Applied Res Laboratories,Nat Applied Res Laboratories
2257,Nat Univ Chung Cheng,Nat Univ Chung Cheng
2258,Nat Univ Tsing Hua,Nat Univ Tsing Hua
2259,Nathan H Mack,Nathan H Mack
2260,National Aeronautics and Space Administration NASA,National Aeronautics And Space Administration Nasa
2261,Instituto Nacional Tecnica Aeroespacial,National Aerospace Technical Institute
2262,Centre National de la Recherche Scientifique CNRS ,National Center For Cnrs Scientific Research
2263,National Cheng Kung University,National Cheng If University
2264, National Chiao Tung University NCTU,National Chiao Tung University Nctu
2265,National Chiao Tung University NCTU,National Chiao Tung University Nctu
2266,National Chiao Tung University NCTU ,National Chiao Tung University Nctu
2267,Consiglio Nazionale delle Richerche CNR ,National Council Council Cnr
2268, Consiglio Nazionale delle Richerche CNR ,National Council Of The Richetche Cnr
2269,National Defense Technology Innovation Institute PLA Academy of Military Science,National Defense Technology Innovation Institute Pla Academy Of Military Science
2270,National Institute For Materials Science,National Institute For Materials Science
2271,National Institute Of Advanced Industrial & Technology,National Institute Of Advanced Industrial & Technology
2272,National Institute Of Advanced Industrial Science And Technology,National Institute Of Advanced Industrial Science And Technology
2273,National Institute of Advanced Industrial Science and Technology AIST,National Institute Of Advanced Industrial Science And Technology Aist
2274,National Institute of Advanced Industrial Science and Technology AIST ,National Institute Of Advanced Industrial Science And Technology Aist
2275, Instituto Nacional de Tecnica Aerospacial ,National Institute Of Aerospatial Technique
2276, National Institute of Information and Communications Technology,National Institute Of Information And Communications Technology
2277,Institut National D'optique,National Institute Of Optics
2278,国立研究開発法人物質・材料研究機構,National R & D Corporation Materials And Material Research Organization
2279,国立研究開発法人理化学研究所,National Research And Development Corporation Research Institute
2280,National Research Council Of Canada,National Research Council Of Canada
2281,National Research Council of Canada ,National Research Council Of Canada
2282, National Research Development Corp of India,National Research Development Corp Of India
2283,National Research Development Corp UK ,National Research Development Corp Uk
2284,National Semiconductor Corp,National Semiconductor Corp
2285, National Taipei University of Technology,National Taipei University Of Technology
2286,國立台灣大學,National Taiwan University
2287,National Taiwan University NTU,National Taiwan University Ntu
2288,National Taiwan University NTU ,National Taiwan University Ntu
2289, National Technology and Engineering Solutions of Sandia LLC ,National Technology And Engineering Solutions Of Sandia Llc
2290,國立交通大學,National Transportation University
2291, National Tsing Hua University NTHU ,National Tsing Hua University Nthu
2292,National Tsing Hua University NTHU,National Tsing Hua University Nthu
2293,國立清華大學,National Tsinghua University
2294,国立大学法人信州大学,National University Corporate University Shinshu University
2295,国立大学法人京都大学,National University Corporation Kyoto University
2296,国立大学法人大阪大学,National University Corporation Osaka University
2297,国立大学法人東北大学,National University Corporation Tohoku University
2298,国立大学法人 東京大学,National University Corporation Tokyo University
2299,国立大学法人東京大学,National University Corporation Tokyo University
2300,国立大学法人 和歌山大学,National University Corporation Wakayama University
2301,National University of Defense Technology,National University Of Defense Technology
2302,National University of Singapore,National University Of Singapore
2303,NAVY SECRETARY OF UNITED STATES OFFICE OF NAVAL RESEARCH ,Navy Secretary Of United States Office Of Naval Research
2304,NCR Corp,Ncr Corp
2305,Neal Marshall,Neal Marshall
2306,Nearmap Australia Pty Ltd,Nearmap Australia Pty Ltd
2307,日本電気株式会社,Nec
2308,NEC Corp,Nec Corp
2309,Nec Corp,Nec Corp
2310,NEC Electronics Corp,Nec Electronics Corp
2311,Neosensory Inc,Neosensory Inc
2312,Nestle SA,Nestle Sa
2313,Netease Hangzhou Network Co Ltd,Netease Hangzhou Network Co Ltd
2314,ネッスル ソシエテ アノニム,Netsul Societe Annim
2315, Neubrex Co Ltd ,Neubrex Co Ltd
2316,Nevermind Capital LLC,Nevermind Capital Llc
2317,Shin Aoki,New Blue Tree
2318,New Degree Technology LLC,New Degree Technology Llc
2319,眞 新家,New Family
2320,新世代株式会社,"New Generation Co., Ltd."
2321,Shinshu University NUC ,New Kind Of Ueni Ve R
2322,ニューレンズ・リミテッド,New Lens Limited
2323, New Peregrine Inc,New Peregrine Inc
2324, New S D Inc,New S D Inc
2325, New Scale Technology,New Scale Technology
2326,NEW SCALE TECHNOLOGIES Inc ,New Scale Technology
2327,New Shicoh Motor Co Ltd,New Shicoh Motor Co Ltd
2328, New Shicoh Technology Co Ltd,New Shicoh Technology Co Ltd
2329,New Span Opto Tech Inc,New Span Opto Tech Inc
2330,New York Institute of Technology,New York Institute Of Technology
2331,New York University NYU,New York University Nyu
2332,Newman Richard W,Newman Richard W
2333,NEWPEREGRINE Inc ,Newperegrine Inc
2334,Newport Corp USA,Newport Corp Usa
2335,Newport Imaging Corp,Newport Imaging Corp
2336,"Newracom, Inc.","Newracom, Inc."
2337,"NEWSIGHT GMBH, 07745 JENA, DE ","Newsight Gmbh, 07745 Jena, De"
2338,Newsight Reality Inc,Newsight Reality Inc
2339,Newsight Reality Inc ,Newsight Reality Inc
2340,"NewSight Reality, Inc.",Newsight Reality Inc
2341, Nexis Vision Liquidating Trust,Nexis Vision Liquidating Trust
2342,ネクシスビジョン リクイデーション トラスト,Nexis Vision Rescination Trust
2343,"넥시스비젼, 인코포레이티드","Nexis Vision, Incoporited"
2344,ネクシスビジョン， インコーポレイテッド,"Nexis Vision, Incorporated"
2345,"Nexisvision, Inc.","Nexisvision, Inc."
2346,Nexter Systems,Nexter Systems
2347,NEXTVISION STABILIZED SYSTEMS Ltd,Nextvision Stabilized Systems Ltd
2348,Nexus House LLC,Nexus House Llc
2349,Nguyen Tuan A.,Nguyen Tuan A.
2350,Nhk Engineering Services Inc,Nhk Engineering Services Inc
2351,Nhk Spring Co Ltd,Nhk Spring Co Ltd
2352,Nice Trust a Trust of Isle of Man,Nice Trust A Trust Of Isle Of Man
2353,Nidek Co Ltd,Nide
2354,Nidec Copal Corp,Nidec Copal Corp
2355,Nidec Sankyo Corp,Nidec Sankyo Corp
2356,"NIETERS, Eric, A.","Nieters, Eric, A."
2357,Nikolay Ledentsov Ledentsov,Nikolai Ledentsov Ledsov
2358,株式会社ニコン,Nikon Corp
2359,Nikon Corp,Nikon Corp
2360,Nikon Corp ,Nikon Corp
2361,Nikon Corporation,Nikon Corporation
2362,Nims Jerry C.,Nims Jerry C.
2363,Nimslo International Ltd ,Nimslo International Ltd
2364,Hubei Jiuzhiyang Infrared System Co Ltd,Nine Sheep In Hubei Infrared System
2365,Ningbo Institute of Technology of ZJU,Ningbo Institute Of Technology Of Zju
2366,Ningbo Sikangxin Electronic Technology Co ltd,Ningbo Sikangxin Electronic Technology
2367,Ningbo Sunny Opotech Co Ltd,Sunny Optical
2368,Ningbo University,Ningbo University
2369,宁波舜宇光电信息有限公司,Sunny Optical
2370,日本電産コパル株式会社,"Nippon Copal Co., Ltd."
2371,日本電装株式会社,"Nippon Denki Co., Ltd."
2372,Nippon Hikyumen Lens Kk,Nippon Hikyumen Lens Kk
2373,日本発條株式会社,Nippon Jojo Corporation
2374,Nippon Mektron Ltd,Nippon Mektron Ltd
2375,日本非球面レンズ株式会社,"Nippon Non -sphere Lens Co., Ltd."
2376,株式会社日本製鋼所,"Nippon Steel Making Co., Ltd."
2377,日本鋼管株式会社,"Nippon Steel Pipe Co., Ltd."
2378,Nippon Telegr & Teleph Corp <Ntt>,Nippon Telegr & Teleph Corp <ntt>
2379,日本電信電話株式会社,"Nippon Telegraph And Telephone Co., Ltd."
2380, Nippon Telegraph and Telephone Corp,Nippon Telegraph And Telephone Corp
2381,Nippon Telegraph and Telephone Corp,Nippon Telegraph And Telephone Corp
2382,Nippon Telegraph And Telephone Corporation,Nippon Telegraph And Telephone Corporation
2383,Nissan Motor Co Ltd,Nissan Motor
2384,Nitesh Shroff,Nitesh Shroff
2385,日東電工株式会社,"Nitto Denko Co., Ltd."
2386,Nkk Corp,Nkk Corp
2387,Nobuhiko Namita,Nobihiko Saw
2388,伸彦 波多,Nobuhiko Hanami
2389,Nokia Corp,Nokia Corp
2390,Nokia Corporation,Nokia Corporation
2391,Nokia Oyj,Nokia Corporation
2392,Nokia Oyj ,Nokia Corporation
2393,Nokia Inc.,Nokia Inc.
2394, Nokia of America Corp,Nokia Of America Corp
2395,Nokia of America Corp,Nokia Of America Corp
2396,Nokia of America Corp ,Nokia Of America Corp
2397,Nokia Solutions and Networks Oy,Nokia Solutions And Networks Oy
2398, Nokia Solutions and Networks Oy,Nokia Technologies Oy
2399, Nokia Technologies Oy,Nokia Technologies Oy
2400,"Nokia Technologies (Beijing) Co., Ltd.",Nokia Technologies Oy
2401,Nokia Technologies Oy,Nokia Technologies Oy
2402,Nokia Technologies Oy ,Nokia Technologies Oy
2403,"Nokia, Inc","Nokia, Inc"
2404,ノールズ エレクトロニクス，リミテッド ライアビリティ カンパニー,"Nores Electronics, Limited Liability Company"
2405, North American Utility Construction Corp,North American Utility Construction Corp
2406,North American Utility Construction Corp,North American Utility Construction Corp
2407,NORTH AMERICAN UTILITY CONSTRUCTION Corp A NY CORP ,North American Utility Construction Corp
2408, North East Res Assoc Inc,North East Res Assoc Inc
2409,NORTH EAST RESEARCH ASSOCIATES Inc ,North East Research Associates Inc
2410,North Inc,North Inc
2411,North Inc ,North Inc
2412,노쓰 인크,North Ink
2413,Northeast Electric Power University,Northeast Electric Power University
2414,Northrop Grumman Corp,Northrop Grumman Corp
2415,Northrop Grumman Systems Corp,Northrop Grumman Systems Corp
2416,Northrop Grumman Systems Corp ,Northrop Grumman Systems Corp
2417,Northwestern Polytechnical University,Northwestern Polytechnical University
2418, Northwestern University,Northwestern University
2419, Northwestern University ,Northwestern University
2420,Northwestern University,Northwestern University
2421,Northwestern University ,Northwestern University
2422,ノバサイト リミテッド,Nova Site Limited
2423, Novartis AG,Novartis Ag
2424,Novartis AG,Novartis Ag
2425,Novartis Ag,Novartis Ag
2426,ノバルティス アーゲー,Novartis Arge
2427,ノバルティス ファーマ アクチエンゲゼルシャフト,Novartis Pharma Acti Engel Shaft
2428, Novasentis Inc,Novasentis Inc
2429,Novasentis Inc,Novasentis Inc
2430,"Novasentis, Inc.","Novasentis, Inc."
2431,Nova-Sight Ltd,Nova-sight Ltd
2432,Novasight Ltd.,Novasight Ltd.
2433,Novatek Microelectronics Corp,Novatek Microelectronics Corp
2434, NRI R&d Patent Licensing LLC,Nri R&d Patent Licensing Llc
2435,NRI R&d Patent Licensing LLC,Nri R&d Patent Licensing Llc
2436,NTS Works Inc ,Nts Works Inc
2437,NTT Docomo Inc,Ntt Docomo Inc
2438,NTT Docomo Inc ,Ntt Docomo Inc
2439,"Ntt Docomo, Inc.","Ntt Docomo, Inc."
2440,Nubia Technology Co Ltd,Nubia Technology Co Ltd
2441,Nuclear Decommissioning Authority,Nuclear Decommissioning Authority
2442,Nulens Ltd,Nulens Ltd
2443,Nureva Inc,Nureva Inc
2444,Nuvoton Technology Corp Japan,Nuvoton Technology Corp Japan
2445,Nvidia Corp,Nvidia Corp
2446,nView Corp,Nview Corp
2447,Nvision Inc,Nvision Inc
2448,NXP BV,Nxp Bv
2449,NXP USA Inc,Nxp Usa Inc
2450,Nytell Software LLC,Nytell Software Llc
2451,O2Micro Inc,O2micro Inc
2452,Obscura Digital,Obscura Digital
2453,Oceanus Investment Inc,Ocean Investment Inc
2454,Ocean Power Technologies Inc,Ocean Power Technologies Inc
2455,Ocumetics Technology Corp,Ocumetics Technology Corp
2456,Oded Melinek,Oded Melinek
2457,"de la LAGUNA OTRI, University of ","Of The Laguna Otri, University Of"
2458,オフソニックス・インコーポレーテッド,Off -sonix Incorporated
2459,Commissariat a lEnergie Atomique et aux Energies Alternatives CEA,Office Of The Atomic Lenergy And Alternative Energies Cea
2460,Ofir Yuval,Offir Yuval
2461, OFilm Group Co Ltd,Ofilm Group Co Ltd
2462,Oganesyan Maxim Samvelovich,Oganesyan Maxim Samvelovich
2463,Ohio Innovation Foundation ,Ohio Innovation Foundation
2464, Ohio State Innovation Foundation,Ohio State Innovation Foundation
2465,Ohio State Innovation Foundation,Ohio State Innovation Foundation
2466, Ohio State University Research Foundation,Ohio State University Research Foundation
2467,Yuichi Taguchi,Oil Ichitaguchi
2468,OISLLEE Planning Co Ltd,Oisllee Planning Co Ltd
2469,Okamura Corp,Okamura Corp
2470,株式会社岡村製作所,"Okamura Seisakusho Co., Ltd."
2471,株式会社沖データ,"Oki Data Co., Ltd."
2472,Oki Electric Industry Co Ltd,Oki Electric Industry Co Ltd
2473,Sekonix Co Ltd,Okonix
2474,OL Security LLC,Ol Security Llc
2475,Noritsu Koki Co Ltd,Old Riding
2476,OLIVE TREE PATENTS 1 LLC,Olive Tree Patents 1 Llc
2477,Olivera Vitomirov,Oliver Vitomirov
2478,Olsen Richard I,Olsen Richard I
2479,Olympus America Inc,Olympus Corp
2480,オリンパス株式会社,Olympus Corp
2481,Olympus Corp,Olympus Corp
2482,Olympus Corporation,Olympus Corp
2483,オリンパスイメージング株式会社,Olympus Corp
2484,Olympus Imaging Corp,Olympus Corp
2485,オリンパス光学工業株式会社,Olympus Corp
2486,Olympus Optical Co Ltd,Olympus Corp
2487,Olympus Soft Imaging Solutions GmbH,Olympus Corp
2488,Olympus Winter and Ibe GmbH,Olympus Winter And Ibe Gmbh
2489,Om Digital Solutions Corp,Om Digital Solutions Corp
2490,Omega Ophthalmics LLC,Omega Ophthalmics Llc
2491,Omni Version Technology Inc ,Omni Version Technology Inc
2492,Omnivision CDM Optics Inc ,Omnivision Cdm Optics Inc
2493, Omnivision Technologies Inc,Omnivision Technologies Inc
2494,Omnivision Technologies Inc,Omnivision Technologies Inc
2495,Omnivision Technologies Shanghai Co Ltd,Omnivision Technologies Shanghai Co Ltd
2496,オムロン株式会社,"Omron Co., Ltd."
2497,Omron Corp,Omron Corp
2498,Omron Healthcare Co Ltd,Omron Healthcare Co Ltd
2499,Omron Tateisi Electron Co,Omron Tateisi Electron Co
2500,Ichiro Onuki,One Way
2501,Oned Material Inc,Oned Material Inc
2502,Yi-Shin Lin,One-is Agricultural Forestry
2503,Oneplus Technology Shenzhen Co Ltd,Oneplus Technology Shenzhen Co Ltd
2504,Onpoint Vision Inc,Onpoint Vision Inc
2505,Oorym Optics Ltd,Oorym Optics Ltd
2506,Opalux Inc,Opalux Inc
2507,OPHTHALMIC VENTURES 685 CANTON ST NORWOOD MA 02062 A PARTNERSHIP LP ,Ophthalmic Ventures 685 Canton St Norwood Ma 02062 A Partnership Lp
2508, OPHTHALMIC VENTURES LP,Ophthalmic Ventures Lp
2509, Ophthalmotronics Inc,Ophthalmotronics Inc
2510,OPHTHALMOTRONICS Inc A NEVADA Corp ,Ophthalmotronics Inc A Nevada Corp
2511,Oppo Chongqing Intelligent Technology Co Ltd,Oppo
2512,Oppo广东移动通信有限公司,Oppo
2513,(주) 오프렌,"Opren Co., Ltd."
2514,Optecks LLC,Optecks Llc
2515,OPTHALMIC LENDERS LLC ,Opthalmic Lenders Llc
2516,Optica Amuka (A.A.) Ltd.,Optica Awake Aa Ltd
2517,Optica Amuka AA Ltd,Optica Awake Aa Ltd
2518,Optical Air Data Systems LLC,Optical Air Data Systems Llc
2519,Optical Gaging Products Inc,Optical Gaging Products Inc
2520,Optical Gaging Products Inc ,Optical Gaging Products Inc
2521, Imagine Optic ,Optical Image
2522,OPTICAL RES AND DEV CORP,Optical Res And Dev Corp
2523,OPTICAL RES AND DEV CORP ,Optical Res And Dev Corp
2524,Optical Wavefront Laboratories,Optical Wavefront Laboratories
2525,"Optical Wavefront Laboratories, Llc","Optical Wavefront Laboratories, Llc"
2526,Opticon Inc,Opticon Inc
2527, Optikos Corp,Optics Corp
2528,オプチコン インコーポレイテッド,Optics Incorporated
2529, OPTIGON RES AND DEV CORP,Optigon Res And Dev Corp
2530,OPTINAV Inc,Optinav Inc
2531,OPTISCAPE LLC,Optiscape Llc
2532,Optiz Inc,Optiz Inc
2533,옵티즈 인코포레이티드,Optiz Inopopoded
2534,옵토투네 아게,Opto Tobe
2535,オプトチューン アクチエンゲゼルシャフト,Optotune Ag.
2536,オプトチューン コンシューマー アーゲー,Optotune Ag.
2537,株式会社オプトエレクトロニクス,Optoelectronics Inc.
2538,Optoelectronics Co Ltd,Optoelectronics Inc.
2539,OPTOMAK Inc,Optomak Inc
2540,주식회사 옵토메카,"Optomeca Co., Ltd."
2541,Optometric Technology Group Ltd,Optometric Technology Group Ltd
2542,オプトチューン アクチェンゲゼルシャフト,Optotune Ag.
2543, Optotune Consumer AG,Optotune Ag.
2544,옵토튠 컨슈머 아게,Optotune Ag.
2545,Optotune AG,Optotune Ag.
2546,Optotune Ag,Optotune Ag.
2547,Optotune AG ,Optotune Ag.
2548,Optotune Consumer Ag,Optotune Ag.
2549,Optotune Consumer AG,Optotune Ag.
2550,Oracle America Inc,Oracle America Inc
2551,Oracle International Corp,Oracle International Corp
2552,Orcam Technologies Ltd,Orcam Technologies Ltd
2553,Origin Energy Solar Pty Ltd,Origin Energy Solar Pty Ltd
2554,大阪瓦斯株式会社,"Osaka Gas Co., Ltd."
2555,Osaka Univ,Osaka Univ
2556, Osaka University NUC,Osaka University Nuc
2557,재단법인 오송첨단의료산업진흥재단,Osong Advanced Medical Industry Promotion Foundation
2558,Osram GmbH,Osram Gmbh
2559,Osram Opto Semiconductors GmbH,Osram Opto Semiconductors Gmbh
2560,오스템임플란트 주식회사,"Osstem Implant Co., Ltd."
2561,オステンド・テクノロジーズ・インコーポレーテッド,Ostend Technologies Incorporated
2562,오스텐도 테크놀로지스 인코포레이티드,Ostendo Technology Incoporited
2563,Osterhout Group Inc,Osterhout Group Inc
2564,Osterhout Group Inc ,Osterhout Group Inc
2565,Osvaldo Andres Barrera,Osvaldo Andres Barrera
2566,Otax Co Ltd,Otax
2567,オータックス株式会社,"Otax Co., Ltd."
2568,Ottawa Health Research Institute,Ottawa Health Research Institute
2569, Ottawa Hospital Research Institute ,Ottawa Hospital Research Institute
2570,OVD Kinegram AG,Ovd Kinegram Ag
2571,P KLang,P Klang
2572,"P1 Diamond, Inc.","P1 Diamond, Inc."
2573,P4tents1 LLC,P4tents1 Llc
2574,Pfoff David S,Paboff David S
2575,Pacific Biosciences of California Inc,Pacific Biosciences Of California Inc
2576,Palo Alto Research Center Inc,Palo Alto Research Center Inc
2577,Pamela Greene,Pamela Greene
2578, Panasonic Corp,Panasonic Corp
2579, Panasonic Corp ,Panasonic Corp
2580,Panasonic Corp,Panasonic Corp
2581,Panasonic Corp ,Panasonic Corp
2582,Panasonic Electric Works Co Ltd,Panasonic Corp
2583,Panasonic Intellectual Property Management Co Ltd,Panasonic Corp
2584,Panasonic iPro Sensing Solutions Co Ltd,Panasonic Corp
2585,パナソニック株式会社,Panasonic Corporation
2586,Panasonic Corporation,Panasonic Corporation
2587,パナソニック電工株式会社,"Panasonic Electric Co., Ltd."
2588, Panasonic Holdings Corp,Panasonic Holdings Corp
2589,Panasonic Holdings Corp,Panasonic Holdings Corp
2590,Panasonic Holdings Corp ,Panasonic Holdings Corp
2591,パナソニック インテレクチュアル プロパティ コーポレーション オブ アメリカ,Panasonic Intelectual Properties Corporation Of America
2592,パナソニック インテレクチュアル プロパティ コーポレーション オブ アメリカＰａｎａｓｏｎｉｃ Ｉｎｔｅｌｌｅｃｔｕａｌ Ｐｒｏｐｅｒｔｙ Ｃｏｒｐｏｒａｔｉｏｎ ｏｆ Ａｍｅｒｉｃａ,Panasonic Intelectual Properties Corporation Of America Panasonic Intellectual Property Corporation Of America
2593,パナソニック インテレクチュアル プロパティ コーポレーション オブアメリカＰａｎａｓｏｎｉｃ Ｉｎｔｅｌｌｅｃｔｕａｌ Ｐｒｏｐｅｒｔｙ Ｃｏｒｐｏｒａｔｉｏｎ ｏｆ Ａｍｅｒｉｃａ,Panasonic Intelectual Properties Corporation Of America Panasonic Intellectual Property Corporation Of America
2594,Panasonic Intellectual Property Corp of America,Panasonic Intellectual Property Corp Of America
2595,Panasonic Intellectual Property Corporation Of America,Panasonic Intellectual Property Corporation Of America
2596,Panasonic Intellectual Property Management Co Ltd ,Panasonic Intellectual Property Management Co Ltd
2597,パナソニックＩｐマネジメント株式会社,"Panasonic Ip Management Co., Ltd."
2598,Panasonic Ip Management Corp,Panasonic Ip Management Corp
2599,Panasonic Liquid Crystal Display Co Ltd,Panasonic Liquid Crystal Display Co Ltd
2600,Pannu Jaswant S,Pannu Jaswant S
2601,주식회사 팬택,"Pantech Co., Ltd."
2602,Pao-Jung Chen,Pao-jung Chen
2603,Parallel Reality Hangzhou Technology Co ltd,Parallel Reality Hangzhou Technology Co Ltd
2604,Parasight Ltd.,Parasight Ltd.
2605, Parker Hannifin Corp,Parker Hannifin Corp
2606,Parker Hannifin Corp,Parker Hannifin Corp
2607,Parker Hannifin Corp ,Parker Hannifin Corp
2608, Parker Intangibles LLC,Parker Intangibles Llc
2609,Parker Intangibles LLC,Parker Intangibles Llc
2610, Parrot Drones SAS,Parrot Drones
2611,Parrot Drones,Parrot Drones
2612,Parrot Drones SAS,Parrot Drones
2613,Parrot Unmanned Aerial Vehicle Co Ltd ,Parrot Drones
2614,Parrot SA,Parrot To
2615,Pathunt Ip Management Ltd,Pathunt Ip Management Ltd
2616,Patrick Campbell,Patrick Campbell
2617, PATTON MEDICAL Tech Inc,Patton Medical Tech Inc
2618,PATTON MEDICAL TECHNOLOGIES Inc ,Patton Medical Technologies Inc
2619,Paul Rolf Preussner,Paul Rolf Preussner
2620,Paul S Drzaic,Paul S Drzaic
2621, PC Lens Corp,Pc Lens Corp
2622,PC Lens Corp,Pc Lens Corp
2623,PC LENS CORP A Corp OF DELAWARE,Pc Lens Corp A Corp Of Delaware
2624,PC LENS CORP A Corp OF DELAWARE ,Pc Lens Corp A Corp Of Delaware
2625,PC MIRAGE LLC,Pc Mirage Llc
2626,PCMS Holdings Inc,Pcms Holdings Inc
2627,"Pcms Holdings, Inc.","Pcms Holdings, Inc."
2628,PCSIP LLC ,Pcsip Llc
2629,PDACO Ltd ,Pdaco Ltd
2630,Pearson Education Inc,Pearson Education Inc
2631,Peking University Shenzhen Graduate School,Peking University Shenzhen Graduate School
2632,펠리칸 이매징 코포레이션,Pelican Emaejing Corporation
2633, Pelican Imaging Corp,Pelican Imaging Corp
2634, Pelican Imaging Corp ,Pelican Imaging Corp
2635,Pelican Imaging Corp,Pelican Imaging Corp
2636,Pelican Imaging Corp ,Pelican Imaging Corp
2637,ペリカン イメージング コーポレイション,Pelican Imaging Corp
2638,Pelican Imaging Corporation,Pelican Imaging Corp
2639,Pellet Co Ltd ,Polight ASA
2640, Peng Cheng Laboratory,Peng Cheng Laboratory
2641,彭中,Peng Zhong
2642,"PENGLAI DAJIN OCEAN HEAVY INDUSTRY Co.,Ltd.","Penglai Dajin Ocean Heavy Industry Co.,ltd."
2643,Penn State Research Foundation,Penn State Research Foundation
2644,Penn State Research Foundation ,Penn State Research Foundation
2645,ペンタックス株式会社,"Pentax Co., Ltd."
2646,Pentax Corp,Pentax Corp
2647,Perdix Systems Llc,Perdix Systems Llc
2648,Per-Erik Nordal,Per-erik Nordal
2649,"Perfect IP Co., Ltd.","Perfect Ip Co., Ltd."
2650, Perfect IP LLC,Perfect Ip Llc
2651,Perfect IP LLC,Perfect Ip Llc
2652,"퍼펙트 아이피, 엘엘씨","Perfect Ip, Ll"
2653,PERFECT LENS LLC ,Perfect Lens Llc
2654,Perlite Co ltd,Perlite Co Ltd
2655,Perlman Stephen G,Perlman Stephen G
2656,Personics Holdings Inc.,Personics Holdings Inc.
2657,Personify Inc,Personify Inc
2658,Peter Magni Englesson,Peter Magni English
2659,Peter Melcher,Peter Melcher
2660,Petko Dimitrov Dinev,Petko Dimitrov Dinev
2661,PETKUS RAYMOND LOPEZ OSVALDO LEWICKY ANDREW O PARTNERSHIP,Petkus Raymond Lopez Osvaldo Lewicky Andrew About Partnership
2662,Peyman Gholam A,Peyman Gholam A
2663,PEYMAN GHOLAM A DR ,Peyman Gholam Isn Dr
2664,PF BioMedical Solutions LLC,Pf Biomedical Solutions Llc
2665,Phantafield Inc,Phantafield Inc
2666, Pharmacia and Upjohn BV,Pharmacia And Upjohn Bv
2667,Pharmacia and Upjohn Co,Pharmacia And Upjohn Co
2668, Pharmacia Animal Health Inc,Pharmacia Animal Health Inc
2669,Pharmacia Groningen Bv,Pharmacia Groningen Bv
2670,Phase Focus Ltd,Phase Focus Ltd
2671,Philip Scott Lyren,Philip Scott Lyren
2672,Philipp Hertel,Philipp Hertel
2673,Philips Corp,Philips Corp
2674, Philips Image Guided Therapy Corp,Philips Image Guided Therapy Corp
2675,Philips Intellectual Property & Standards Gmbh,Philips Intellectual Property & Standards Gmbh
2676,Philips North America LLC,Philips North America Llc
2677,Philips North America LLC ,Philips North America Llc
2678,Phillips Andrew F,Phillips Andrew F
2679,Phillips Andrew F.,Phillips Andrew F.
2680,Photo Lab Ltd By Share Ltd ,Photo Lab Ltd By Share Ltd
2681, FOTOTECHNIEK ELITE BV ,Photo Technology Elite Bv
2682, Photobit Corp,Photobit Corp
2683,Photon Dynamics Inc,Photon Dynamics Inc
2684,Fotonation Corp,Photonation Corp
2685,Photonic Sensors and Algorithms SL,Photonic Sensors And Algorithms Sl
2686,Photonica Inc,Photonica Inc
2687,Photonyx AS,Photonyx As
2688,포토네이션 케이맨 리미티드,Phototonation Kman Limited
2689, Photron KK,Photron
2690, Physik Instrumente PI GmbH and Co KG,Physics Instruments Pi Gmbh And Co Kg
2691,Pichaya Puttorngul,Pichaya Puttorngul
2692,Pictos Technologies Inc ,Pictos Technologies Inc
2693, Piece Future Pte Ltd,Piece Future Pte Ltd
2694,Piers Patricia A,Piers Patricia A
2695,PILKINGTON VISIONCARE Inc A CORP OF DE ,Pilkington Visioncare Inc A Corp Of De
2696,Ping An Technology Shenzhen Co Ltd,Ping An Technology Shenzhen Co Ltd
2697,Pinghu Laidun Optical Instrument Manufacturing Co ltd,Pinghu Laidun Optical Instrument Manufacturing Co Ltd
2698,Brandon Rosado,Pink Brandon
2699,Pinotage LLC,Pinotage Llc
2700,Xianfeng Duan,Pioneer
2701,パイオニア株式会社,"Pioneer Co., Ltd."
2702,Pioneer Corp,Pioneer Corp
2703,Pioneer Corporation,Pioneer Corporation
2704,パイオニアデザイン株式会社,"Pioneer Design Co., Ltd."
2705,Pioneer Design Kk,Pioneer Design Kk
2706,Pioneer Electronic Corp,Pioneer Electronic Corp
2707,Pittsburgh Glass Works LLC,Pittsburgh Glass Works Llc
2708,Pixar,Pixar
2709,Pixart Imaging Inc,Pixart Imaging Inc
